Year,Cluster,Indicator,Attribute,Province,Area Council,Intensity 2,Intensity 3,Intensity 4,Intensity 5
2025,Education,Number Schools,primary,Torba,Motalava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Torba,East Vanualava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Torba,West Vanualava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Torba,Mota,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Torba,East Gaua,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Torba,West Gaua,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Torba,Merelava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,Luganville,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,North West Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,Big Bay Coast,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,Big Bay Inland,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,West Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,South Santo 1,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,South Santo 2,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,East Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,South East Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,Canal Fanafo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,West Malo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Sanma,East Malo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Penama,West Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Penama,North Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Penama,East Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Penama,South Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Penama,North Maewo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Penama,South Maewo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Penama,North Pentecost,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Penama,Central Pentecost 1,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Penama,Central Pentecost 2,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Penama,South Pentecost,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Malampa,North West Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Malampa,North East Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Malampa,Central Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Malampa,South West Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Malampa,South East Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Malampa,South Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Malampa,North Ambrym,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Malampa,West Ambrym,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Malampa,South East Ambrym,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Malampa,Paama,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Port Vila,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Vermali,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Vermaul,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Varisu,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,South Epi,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,North Tongoa,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Makimae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Tongariki,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Nguna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Emau,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Malorua,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,North Efate,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Mele,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Tanvasoko,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Ifira,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Pango,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Erakor,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Eratap,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Shefa,Eton,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Tafea,North Erromango,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Tafea,South Erromango,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Tafea,Aniwa,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Tafea,North Tanna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Tafea,West Tanna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Tafea,Middle Bush Tanna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Tafea,South West Tanna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Tafea,Whitesands,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Tafea,South Tanna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Tafea,Futuna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,primary,Tafea,Aneityum,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Torba,Torres,0.1,0.5,0.7,0.8
