Year,Cluster,Indicator,Attribute,Value,Province,Area Council
2025,Education,Number Schools,secondary,1.00E+07,Sanma,South East Santo
2025,Education,Number Schools,secondary,1.00E+07,Sanma,Canal Fanafo
2025,Education,Number Schools,secondary,1.00E+07,Sanma,West Malo
2025,Education,Number Schools,secondary,1.00E+07,Sanma,East Malo
2025,Education,Number Schools,secondary,1.00E+07,Penama,West Ambae
2025,Education,Number Schools,secondary,1.00E+07,Penama,North Ambae
2025,Education,Number Schools,secondary,1.00E+07,Penama,East Ambae
2025,Education,Number Schools,secondary,1.00E+07,Penama,South Ambae
2025,Education,Number Schools,secondary,1.00E+07,Penama,North Maewo
2025,Education,Number Schools,secondary,1.00E+07,Penama,South Maewo
2025,Education,Number Schools,secondary,1.00E+07,Penama,North Pentecost
2025,Education,Number Schools,secondary,1.00E+07,Penama,Central Pentecost 1
2025,Education,Number Schools,secondary,1.00E+07,Penama,Central Pentecost 2
2025,Education,Number Schools,secondary,1.00E+07,Penama,South Pentecost
2025,Education,Number Schools,secondary,1.00E+07,Malampa,North West Malekula
2025,Education,Number Schools,secondary,1.00E+07,Malampa,North East Malekula
2025,Education,Number Schools,secondary,1.00E+07,Malampa,Central Malekula
2025,Education,Number Schools,secondary,1.00E+07,Malampa,South West Malekula
2025,Education,Number Schools,secondary,1.00E+07,Malampa,South East Malekula
2025,Education,Number Schools,secondary,1.00E+07,Malampa,South Malekula
2025,Education,Number Schools,secondary,1.00E+07,Malampa,North Ambrym
2025,Education,Number Schools,secondary,1.00E+07,Malampa,West Ambrym
2025,Education,Number Schools,secondary,1.00E+07,Malampa,South East Ambrym
2025,Education,Number Schools,secondary,1.00E+07,Malampa,Paama
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Port Vila
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Vermali
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Vermaul
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Varisu
2025,Education,Number Schools,secondary,1.00E+07,Shefa,South Epi
2025,Education,Number Schools,secondary,1.00E+07,Shefa,North Tongoa
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Makimae
