"Region","total_households","roof_concrete","roof_metal","roof_wood","wall_concrete","wall_metal","wall_wood"
"National",72482.0546920189,1955.77438661326,38825.8402753286,1048.69239154046,24205.5643273061,14982.3559003982,5294.77649610841
"Torba",2794.95252753011,81.5249281381653,581.784470195177,3.87625960775018,405.903255968896,216.092994118753,122.513426305331
"Torres",251.536722793333,3.62793350182691,37.4886461855448,0,15.7210451745833,4.83724466910255,4.83724466910255
"Ureparapara",95.5562924834146,3.08246104785208,6.16492209570417,1.02748701595069,6.16492209570417,0,1.02748701595069
"Motalava",403.506543031657,7.07906215845013,102.140754000495,0,117.310172911459,20.2258918812861,3.03388378219291
"West Vanualava",352.861855525167,0,30.2751296160646,0,10.4396998676085,6.2638199205651,10.4396998676085
"East Vanualava",399.483016622889,2.10254219275205,115.639820601363,0,90.6668906823217,63.2559702434802,35.8450498046388
"Mota",121.069311546954,0,13.9793805819381,0,3.72783482185017,0.931958705462542,1.86391741092508
"East Gaua",736.395575324238,45.5803614687919,203.687240313664,2.84877259179949,122.497221447378,85.4631777539848,48.4291340605914
"West Gaua",273.387859087372,2.9083814796529,39.2631499753141,0,13.087716658438,14.5419073982645,10.1793351787851
"Merelava",161.15535111509,17.1441862888393,33.1454268250893,0,26.2877523095536,20.5730235466072,6.85767451553572
"Sanma",15197.264125121,276.618004700703,7748.67258063714,106.789096974304,5921.75692566136,1280.32184992393,2369.57091238561
"Luganville",4011.10961674314,78.4148745050321,3362.87790377295,15.6829749010064,2129.52394905809,616.116871110966,638.521120969547
"North West Santo",313.385436919143,4.82192895219557,75.2220916542508,8.67947211395202,56.8987616359077,5.78631474263468,189.019614926066
"Big Bay Coast",899.778336226117,19.0362130372239,208.129262540314,0,158.635108643533,27.9197791212617,158.635108643533
"Big Bay Inland",555.824444268251,6.21916507835088,83.4012107042888,0,56.0456659942339,9.97408181786575,22.3831398589371
"West Santo",506.606466711524,5.21417923445196,21.7257468102165,1.73805974481732,20.8567169378079,5.21417923445196,4.3451493620433
"South Santo 1",1320.33984160773,41.3021957214896,294.121696804547,2.50316337705997,332.920729148977,30.0379605247196,48.8116858526694
"South Santo 2",1263.23800890242,11.2993372366029,598.311492179073,17.6578741098794,517.951028484635,94.996502049215,134.174310329284
"East Santo",1761.34327423859,18.0294980827572,850.160178825399,42.9934185050365,834.90444967845,102.629450624926,353.655539315623
"South East Santo",2215.88663450749,56.7829399934805,1429.03732316926,13.5197476174954,982.885651791913,274.450876635156,563.773475649556
"Canal Fanafo",1057.72433363789,11.039563163906,481.72639260681,4.01438660505675,246.884776210991,86.3093120087202,179.64380057629
"West Malo",776.294122501475,9.35294123495753,206.933824823435,0,412.698531992501,12.8602941980666,14.0294118524363
"East Malo",515.73360885726,15.1051684602545,137.025456746594,0,171.551556084319,14.0262278559506,62.5785550496257
"Penama",9200.13931705135,252.456642578948,3204.20921900432,31.5903425763928,1661.47159641341,1262.5560596849,319.224638510573
"West Ambae",606.924608004948,12.5292257211254,270.422455147622,0,172.276853665474,72.0430478964709,29.2348600159592
"North Ambae",593.436796206294,11.7587365285627,329.244622799757,0.979894710713562,165.602206110592,45.0751566928239,10.7788418178492
"East Ambae",476.457889720776,9.43243787587872,249.959603710786,0,183.932538579635,38.6729952911028,10.3756816634666
"South Ambae",236.189949175808,5.78087288192537,71.0221525493688,0,47.8986610216674,9.08422881445416,9.91006779758636
"North Maewo",767.461922591376,2.42867697022587,187.008126707392,0,97.147078809035,38.858831523614,12.1433848511294
"South Maewo",620.864206151392,4.81296526123518,194.122932203152,0,73.7988006722728,59.3599048885673,11.2302522762154
"North Pentecost",1683.41539017212,59.6598246492067,366.311323346129,3.5795894789524,330.515428556606,70.398593086064,23.8639298596827
"Central Pentecost 1",1095.50324205733,49.5994473742674,401.172000821281,16.0468800328512,126.916232987096,239.244393217055,166.304029431367
"Central Pentecost 2",1539.83327247302,66.5931595634721,593.54772654399,5.79070952725845,212.808575126748,444.436956217086,24.6105154908484
"South Pentecost",1580.05204049829,29.861295753049,541.398275174845,5.19326882661722,250.575220884281,245.381952057664,20.7730753064689
"Malampa",10353.2774827892,230.885759758154,2971.21314483437,47.094036420036,2786.12479526903,755.513276499978,375.517951543406
"North West Malekula",1188.86767401795,18.8272777095833,183.04297773206,0,191.410656714098,23.0111172006019,43.9303146556945
"North East Malekula",1539.62290420528,65.1692234584244,363.945047929355,18.0468618807945,502.304322348779,70.182240647534,25.0650859455478
"Central Malekula",1541.65738237234,58.5715449631032,498.390600776951,3.19481154344199,538.858213660549,56.4416706008085,102.233969390144
"South West Malekula",935.199541294908,15.681548329174,344.994063241827,2.24022118988199,220.661787203377,53.7653085571679,66.0865251015188
"South East Malekula",1153.86214879327,11.4866088030381,170.210657717746,2.08847432782511,199.449298307298,67.875415654316,56.3888068512778
"South Malekula",1202.44366657817,10.9094846924641,366.073819680463,2.42432993165869,390.31711899705,101.821857129665,18.1824744874401
"North Ambrym",1007.7042284521,3.70964564415378,358.599078934865,0,276.986874763482,51.935039018153,12.3654854805126
"West Ambrym",385.450635837244,10.4864255649206,93.1441329590005,13.5706683781325,140.641472282465,62.301704826881,22.206548255126
"South East Ambrym",605.948867341972,26.4020577913288,151.211785532155,3.60028060790847,150.011691996187,25.2019642553593,25.2019642553593
"Paama",792.520433895933,9.64194280196391,441.600980329947,1.92838856039278,175.483358995743,242.976958609491,3.85677712078556
"Shefa",24030.8306358174,723.033635051859,20490.6158488078,346.979859399625,11341.3034212217,9354.17158476428,1310.28458191621
"Port Vila",8958.28660829032,379.888387391587,8117.72108442076,174.325440368023,4964.74823522109,2920.20304154063,409.110571037094
"Vermali",620.505261352837,8.30504173894811,349.998187569956,110.338411674596,259.829162975662,157.795793040014,41.5252086947405
"Vermaul",467.791975723459,7.60637358899934,277.632635998476,6.33864465749945,139.450182464988,166.072490026486,109.024688108991
"Varisu",610.02408994337,23.5631622724907,248.722268431846,0,178.032781614374,73.3076159588599,104.725165655514
"South Epi",470.290296930793,0,319.468335815962,1.37110873740756,82.2665242444536,226.232941672247,67.1843281329704
"North Tongoa",327.891570980372,0,263.108366876296,0,102.042028218184,181.074579485208,15.0061806203211
"Tongariki",237.737908455605,1.16657325760264,202.983746822859,0,87.4929943201981,134.155924624304,3.49971977280792
"Makimae",232.625876024746,0.977739347436624,194.570130139888,0,82.1301051846764,108.529067565465,30.3099197705353
"Nguna",468.181911066327,17.8856010969159,404.004165953865,0,257.763074632023,165.178786600929,14.7293185504013
"Emau",197.239389926415,4.38309755392034,177.515450933774,1.09577438848008,110.673213236489,82.1830791360063,1.09577438848008
"Malorua",1023.64421567205,20.3642748475871,889.240001677971,4.07285496951742,448.014046646917,433.080245092019,38.0133130488293
"North Efate",872.350722672883,15.0420512457784,779.679656239511,0,438.726494668536,376.051281144459,33.8446153030013
"Mele",887.60272195239,21.6728744538874,795.985570851866,18.7174824829028,540.836730690191,272.881191987583,23.6431357678772
"Tanvasoko",1904.00050406432,53.4664915176639,1765.63345719199,9.84388089127191,883.712521299483,803.944274669279,51.4977153394095
"Ifira",245.525974562536,41.48497048292,197.333913648484,4.48486167382918,112.12154184573,69.5153559443523,35.8788933906335
"Pango",486.365911492837,13.8750457639631,427.153194590579,0,270.563392397281,178.393445536668,13.8750457639631
"Erakor",3298.47690356345,59.102401855659,2963.56329304805,5.62880017672943,1359.35524268016,1629.53765116317,167.456805257701
"Eratap",1825.63717105486,44.7357089950002,1489.5782022119,3.62721964824326,773.806858291896,875.369008442708,73.7534661809463
"Eton",896.651622087837,9.51383964149926,626.724186383763,7.13537973112444,249.738290589355,500.665811133898,76.1107171319941
"Tafea",10905.5906037098,391.255416385427,3829.34501184976,512.362796562349,2089.00433277175,2113.70013540635,797.66498544728
"North Erromango",374.158737182642,5.02226492862606,204.657295841512,5.02226492862606,52.7337817505737,81.6118050901735,128.067755679965
