"Region","total_households","total_water","water_piped","water_well","water_tank","total_toilet","toilet_pit latrine","toilet_vip","toilet_flush","toilet_water sealed"
"National",72482.0546920189,66384.9429370593,34504.2956400102,5400.87949322022,26479.7678038288,66451.9913964356,29856.4608328947,12557.0405977556,15745.8288490159,8292.6611167694
"Torba",2794.95252753011,2541.17709534992,1002.53201843409,239.773134116747,1298.87194279908,2566.05891322687,1643.81007574333,644.847811642779,109.360278790092,168.040747050664
"Torres",251.536722793333,247.908789291506,0,0,247.908789291506,235.81567761875,141.48940657125,73.7679812038139,1.20931116727564,19.3489786764102
"Ureparapara",95.5562924834146,68.8416300686965,55.4842988613375,0,13.357331207359,91.4463444196119,45.2094287018306,4.10994806380278,4.10994806380278,38.0170195901757
"Motalava",403.506543031657,401.483953843529,298.33190524897,14.1581243169003,88.9939242776587,382.269356556307,175.965259367189,123.377940475845,29.3275432278648,53.5986134854081
"West Vanualava",352.861855525167,249.508826835843,195.222387524279,0,54.2864393115642,291.267626306277,134.67212829215,152.419618067084,3.13190996028255,1.04396998676085
"East Vanualava",399.483016622889,337.458021936703,193.433881733188,1.05127109637602,142.972869107139,355.329630575096,108.28092292673,136.665242528883,67.2813501680655,43.102114951417
"Mota",121.069311546954,119.290714299206,0,0.931958705462542,118.358755593743,117.42679688828,69.8969029096907,46.5979352731271,0,0.931958705462542
"East Gaua",736.395575324238,231.216327632406,116.335259186116,23.2670518372232,91.6140166090663,727.159505789915,673.085021993405,44.1133946761005,2.84602546297423,7.11506365743557
"West Gaua",273.387859087372,724.313480326942,143.724285880199,199.221782408196,381.367412038547,270.479477607719,263.208523908587,4.36257221947935,1.45419073982645,1.45419073982645
"Merelava",161.15535111509,161.155351115089,0,1.14294575258929,160.0124053625,94.8644974649109,32.0024810725,59.433179134643,0,3.42883725776786
"Sanma",15197.264125121,13419.9449291707,5519.07815293681,938.140579500354,6962.7261967335,14069.8861741446,6505.63051238005,2752.54906997666,2920.20361075153,1891.50298103636
"Luganville",4011.10961674314,3960.95376781161,2612.21792632506,89.6169994343225,1259.11884205223,3918.50330026575,477.210521987767,407.757347426166,2164.25053633889,869.284894512927
"North West Santo",313.385436919143,106.082436948302,98.3673506247895,0,7.7150863235129,312.460996102273,299.923980826565,10.6082436948302,0,1.92877158087823
"Big Bay Coast",899.778336226117,607.889736322018,279.197791212617,2.53816173829652,326.153783371104,885.818446665486,645.962162396465,210.667424278611,11.4217278223343,17.7671321680756
"Big Bay Inland",555.824444268251,224.492716503995,165.924257939664,0,58.5684585643309,538.617749535506,426.453237257962,4.94313273548723,107.221379542057,0
"West Santo",506.606466711524,307.584264583587,302.370971963526,0.868882103343466,4.34441051671733,494.393916802433,443.998754808512,8.68882103343466,36.4930483404256,5.2132926200608
"South Santo 1",1320.33984160773,1013.78116770929,866.094528462749,8.7610718197099,138.925567426828,1166.47413370995,847.3208031348,234.045775755107,41.3021957214895,43.8053590985494
"South Santo 2",1263.23800890242,1148.79979952876,533.744673056938,17.3693513443371,597.685775127484,1161.01734964755,553.417035958559,383.975213167822,64.2406701041739,159.384430416997
"East Santo",1761.34327423859,1658.71382361367,119.272064239779,252.412973158601,1287.02878621529,1686.45151297175,571.396400776614,425.773531646652,56.8622631840805,632.419317364407
"South East Santo",2215.88663450749,2145.58394689651,250.115330923664,236.595583306169,1658.87303266668,1940.08378311059,1170.8101436751,323.121968058139,328.529867105137,117.62180427221
"Canal Fanafo",1057.72433363789,996.571474705339,166.597044109855,110.395631639061,719.578798956423,939.36646558328,562.014124707945,283.014255656501,68.2445722859648,26.0935129328689
"West Malo",776.294122501475,742.389710524753,84.1764711146177,77.1617651883996,581.051474221736,777.463240155844,489.8602971809,242.007354454526,36.2426472854604,9.35294123495753
"East Malo",515.73360885726,507.102084022829,40.9997429635479,142.420159768114,323.682181291167,249.235279594199,17.2630496688623,217.946002069386,5.39470302151946,8.63152483443113
"Penama",9200.13931705135,8549.14488405223,3018.65449389377,875.567889179252,4654.92250097921,7965.81553126892,6050.91059964324,1423.02373351799,313.492754882766,178.388443224916
"West Ambae",606.924608004948,602.446936757444,4.17640857370845,357.082933052073,241.187595131663,513.69825456614,370.656260916625,75.1753543267522,4.17640857370845,63.6902307490539
"North Ambae",593.436796206294,587.936826428137,10.7788418178492,274.370518999798,302.78746561049,566.379142792438,356.681674699736,123.466733549909,82.3111556999391,3.91957884285425
"East Ambae",476.457889720776,451.813774254591,21.6946071145211,166.010906615466,264.108260524604,452.757018042178,350.886688982688,29.240557415224,66.027065131151,6.6027065131151
"South Ambae",236.189949175808,223.802364428826,34.6852372915522,56.1570508529894,132.960076284284,233.712432226412,222.976525445693,9.91006779758635,0,0.825838983132196
"North Maewo",767.461922591376,727.38875258265,568.310411032855,6.07169242556469,153.00664912423,766.247584106264,527.022902539015,200.365850043635,27.9297851575976,10.9290463660164
