"Region","total_households","elec_battery lamp","elec_generator","elec_main grid","elec_no access","elec_solar system","cook_bottle gas","cook_open fire","cook_solar power","cook_electricity","cook_wood stove"
"National",72482.0546920189,7150.12750727783,410.900386339294,20720.6104167259,9278.79316126233,34508.8732258138,7782.75446226408,55049.199391702,3108.5777831039,4266.97445448625,1555.83843970122
"Torba",2794.95252753011,419.715956288111,20.1748178889009,64.1275368789375,612.535198684217,1657.45150761359,13.7345987550835,2642.43626015991,106.060438153824,274.944666748397,3.31185336002769
"Torres",251.536722793333,16.9303563418589,0,0,96.7448933820511,136.652161902147,0,243.071544622403,6.04655583637819,268.637040170141,1.20931116727564
"Ureparapara",95.5562924834146,52.4018378134854,1.02748701595069,0,6.16492209570417,35.9620455582743,0,94.5288054674639,1.02748701595069,0,0
"Motalava",403.506543031657,41.4630783566365,3.03388378219291,0,132.479591822424,224.507399882275,0,395.416186279143,5.05647297032152,0,0
"West Vanualava",352.861855525167,26.0992496690212,1.04396998676085,0,119.012578490737,205.662087391887,0,346.598035604602,5.21984993380425,0,0
"East Vanualava",399.483016622889,42.050843855041,8.41016877100819,64.1275368789375,58.8711813970573,214.459303660709,9.46143986738422,363.739799346104,6.30762657825615,6.30762657825615,2.10254219275205
"Mota",121.069311546954,65.237109382378,0.931958705462542,0,0.931958705462542,53.1216462113649,0,112.767003360967,7.45566964370034,0,0
"East Gaua",736.395575324238,71.2193147949873,4.27315888769924,0,132.467925518676,524.174156891107,4.27315888769924,660.915241297482,66.9461559072881,0,0
"West Gaua",273.387859087372,17.4502888779174,1.45419073982645,0,40.7173407151406,213.766038754488,0,273.387859087372,0,0,0
"Merelava",161.15535111509,86.8638771967858,0,0,25.1448065569643,49.1466673613393,0,152.011785094375,8.00062026812501,0,0
"Sanma",15197.264125121,1209.1444165188,90.325543099112,4119.4548593813,1031.61262302683,8660.97873650974,1005.43077796334,12600.9904174539,492.140541918401,641.580160668358,339.927561619871
"Luganville",4011.10961674314,99.6989118706837,12.3223374222193,3042.49713079525,134.425499151484,685.570045672567,744.941307797806,2558.5653338499,49.2893496888774,492.893496888774,120.982949236336
"North West Santo",313.385436919143,10.6082436948302,5.78631474263468,0,24.1096447609779,271.95679290383,0,295.102051874368,11.5726294852693,0.964385790439113,1.92877158087823
"Big Bay Coast",899.778336226117,133.253491260567,1.26908086914826,0,25.3816173829652,739.874146713436,3.80724260744478,875.6657997123,17.7671321680756,0,2.53816173829652
"Big Bay Inland",555.824444268251,138.25866070255,0,0,39.8816912136477,372.798639313488,0,462.90200500403,76.9478687008945,0,11.089117524762
"West Santo",506.606466711524,134.676726018237,1.73776420668693,0,139.021136534954,226.778228972645,0,485.705095768998,15.6398778601824,0,0.868882103343466
"South Santo 1",1320.33984160773,120.151842098879,2.50316337705997,0,133.919240672709,1061.34127187343,5,1227,39,1.25158168852999,45
"South Santo 2",1263.23800890242,59.2017760464013,1.26127672213424,0,75.9208914293854,1126.85406470451,23,1177,42,1.26127672213424,9
"East Santo",1761.34327423859,144.235984662058,12.4819602111396,360.589961655145,49.9278408445585,1178.85179771874,41.6065340371321,1626.81548085186,44.3803029729409,27.737689358088,4.16065340371321
"South East Santo",2215.88663450749,236.595583306169,31,454.263519947844,278.506800920404,1205.96148748059,133.845501413204,1908.98836359034,81.1184857049722,70.3026876109759,10.8157980939963
"Canal Fanafo",1057.72433363789,19.0683363740196,14.0503531176986,260.935129328689,34.1222861429824,723.59318556148,37.133076096775,779.794598032275,59.2122024245872,47.1690426094169,125.449581408023
"West Malo",776.294122501475,71.3161769165512,4.67647061747876,1.16911765436969,46.7647061747876,647.691180520809,12.8602941980666,719.00735743736,30.397059013612,0,7.01470592621815
"East Malo",515.73360885726,42.0786835678518,3.23682181291167,0,49.631267797979,419.707895074214,3.23682181291167,484.444331332447,24.8156338989895,0,1.07894060430389
"Penama",9200.13931705135,1114.46837073513,95.0720861002026,134.633988397462,2454.3550565165,5345.41494475801,137.797433169135,8311.91563585423,368.539377157735,1.98734593101498,310.691227619264
"West Ambae",606.924608004948,44.8963921673659,12.5292257211254,0,103.366112199284,443.743410956523,5.22051071713557,492.816211697598,46.9845964542201,1.04410214342711,55.337413601637
"North Ambae",593.436796206294,147.964101317748,30.3767360321204,0,127.386312392763,286.12925552836,10.7788418178492,555.60030097459,23.5174730571254,0,1.95978942142712
"East Ambae",476.457889720776,40.5594828662785,4.71621893793936,68.8567964939147,50.9351645297451,291.462330364652,52.8216521049208,388.616440486203,11.3189254510545,0.943243787587872,0.943243787587872
"South Ambae",236.189949175808,9.91006779758636,2.47751694939659,0,95.7973220433351,128.00504238549,0,225.454042395089,7.43255084818976,0,3.30335593252878
"North Maewo",767.461922591376,13.3577233362423,2.42867697022587,0,420.161115849076,330.300067950719,15.7864003064682,739.532137433779,9.7147078809035,0,1.21433848511294
"South Maewo",620.864206151392,40.1080438436265,0,65.7771919035475,239.043941308014,272.73469813666,6.41728701498025,455.627378063598,8.02160876872531,0,147.597601344546
"North Pentecost",1683.41539017212,220.741351202065,8.35237545088894,0,195.684224849398,1245.69713867544,15.5115544087937,1499.84799168106,64.4326106211433,0,89.4897369738102
"Central Pentecost 1",1095.50324205733,164.845222155653,5.83522910285499,0,366.16062620415,555.805572046939,7.29403637856873,1047.42362396247,35.01137461713,0,1.45880727571375
"Central Pentecost 2",1539.83327247302,337.308829962804,23.1628381090338,0,228.733026326708,942.437975561311,5.79070952725845,1410.03776988743,111.471158399725,0,2.89535476362922
